problem,heuristic,expansions,plan_length,search_time
p01,ff,168,11,0.04550290107727051
p02,ff,1532,17,0.7214212417602539
p03,ff,10960,23,8.284866094589233
p04,ff,66948,29,107.3009090423584
p05,ff,,,
