domain,problem,heuristic,model,coverage,expansions,search_time,plan_length
blocksworld,p01.pddl,llm-selected,gpt-4.1-mini,1,13,0.0001671314239501953,6
blocksworld,p02.pddl,llm-selected,gpt-4.1-mini,1,16,0.00016999244689941406,10
blocksworld,p03.pddl,llm-selected,gpt-4.1-mini,1,11,0.00011873245239257812,6
blocksworld,p04.pddl,llm-selected,gpt-4.1-mini,1,37,0.0010082721710205078,12
blocksworld,p05.pddl,llm-selected,gpt-4.1-mini,1,25,0.0003790855407714844,10
