domain,heuristic,model,instances,coverage,coverage_rate,avg_expansions,avg_search_time,avg_plan_length
blocksworld,add,,5,5,1.0,88.0,0.01367192268371582,18.0
blocksworld,ff,,5,5,1.0,426.8,0.07181897163391113,16.4
blocksworld,llm-selected,gpt-4o-mini,5,5,1.0,12713.0,0.2291177272796631,16.0
blocksworld,max,,5,5,1.0,3137.6,0.45705327987670896,15.6
